[2022-09-29 09:27:43,581][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 09:27:48,139][set_app.py 59][INFO]: APP关闭！
[2022-09-29 09:29:01,026][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 09:29:23,013][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 09:29:52,660][set_app.py 59][INFO]: APP关闭！
[2022-09-29 09:31:02,718][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 09:31:24,739][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 09:31:34,276][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-09-29 09:31:54,268][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 09:32:15,420][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 09:32:20,922][set_app.py 59][INFO]: APP关闭！
[2022-09-29 09:45:14,988][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 09:45:35,920][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 09:45:50,208][set_app.py 274][INFO]: 输入语音打开空调响应为：好的，正在为您打开所有空调
[2022-09-29 09:45:52,714][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:06:25,495][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:06:46,462][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:06:53,745][set_app.py 268][INFO]: 输入语音:  打开所有空调获得响应为：好的，正在为您打开所有空调
[2022-09-29 10:06:59,611][set_app.py 268][INFO]: 输入语音:  打开卧室空调获得响应为：好的，正在为您打开所有空调
[2022-09-29 10:07:05,437][set_app.py 268][INFO]: 输入语音:  关闭空调获得响应为：好的，正在为您打开所有空调
[2022-09-29 10:07:07,851][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:10:28,602][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:10:49,603][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:10:57,071][set_app.py 268][INFO]: 输入语音:  打开所有空调获得响应为：好的，正在为您打开所有空调
[2022-09-29 10:11:02,891][set_app.py 270][INFO]: 输入语音:  打开卧室空调获得响应为：好的，正在为您打开卧室空调
[2022-09-29 10:11:08,681][set_app.py 272][INFO]: 输入语音:  关闭空调获得响应为：问题听懂了，可惜我还不会回答您，我去学习了
[2022-09-29 10:11:11,158][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:12:17,138][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:12:38,112][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:12:45,555][set_app.py 268][INFO]: 输入语音:  打开所有空调获得响应为：好的，正在为您打开所有空调
[2022-09-29 10:12:51,503][set_app.py 270][INFO]: 输入语音:  打开卧室空调获得响应为：好的，正在为您打开卧室空调
[2022-09-29 10:12:57,332][set_app.py 272][INFO]: 输入语音:  开始空调获得响应为：问题听懂了，可惜我还不会回答您，我去学习了
[2022-09-29 10:13:03,204][set_app.py 274][INFO]: 输入语音:  关闭空调获得响应为：请指定具体的具体的空调名称（中文）
[2022-09-29 10:13:05,685][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:14:00,661][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:14:21,674][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:14:47,636][set_app.py 325][INFO]: 头像更换成功，用例无异常！
[2022-09-29 10:15:10,937][set_app.py 325][INFO]: 头像更换成功，用例无异常！
[2022-09-29 10:15:34,219][set_app.py 325][INFO]: 头像更换成功，用例无异常！
[2022-09-29 10:15:36,786][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:16:29,539][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:16:50,544][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:17:16,884][set_app.py 325][INFO]: 头像更换成功，用例无异常！
[2022-09-29 10:17:40,110][set_app.py 325][INFO]: 头像更换成功，用例无异常！
[2022-09-29 10:18:03,387][set_app.py 325][INFO]: 头像更换成功，用例无异常！
[2022-09-29 10:18:05,946][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:18:43,251][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:18:43,251][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:19:05,866][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:19:05,866][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:19:43,010][set_app.py 193][INFO]: 地址自动获取成功，用例正常！
[2022-09-29 10:19:43,010][set_app.py 193][INFO]: 地址自动获取成功，用例正常！
[2022-09-29 10:19:54,474][set_app.py 174][INFO]: 使点击地址后，地图确认发生了变化，用例无异常！
[2022-09-29 10:19:54,474][set_app.py 174][INFO]: 使点击地址后，地图确认发生了变化，用例无异常！
[2022-09-29 10:20:03,568][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-09-29 10:20:03,568][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-09-29 10:20:05,760][set_app.py 104][INFO]: 判断是否记住密码用例通过，无异常！
[2022-09-29 10:20:05,760][set_app.py 104][INFO]: 判断是否记住密码用例通过，无异常！
[2022-09-29 10:21:26,863][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:22:14,259][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:22:14,259][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:22:36,310][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:22:36,310][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:23:12,682][set_app.py 193][INFO]: 地址自动获取成功，用例正常！
[2022-09-29 10:23:12,682][set_app.py 193][INFO]: 地址自动获取成功，用例正常！
[2022-09-29 10:23:24,681][set_app.py 174][INFO]: 使点击地址后，地图确认发生了变化，用例无异常！
[2022-09-29 10:23:24,681][set_app.py 174][INFO]: 使点击地址后，地图确认发生了变化，用例无异常！
[2022-09-29 10:23:33,763][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-09-29 10:23:33,763][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-09-29 10:23:36,540][set_app.py 104][INFO]: 判断是否记住密码用例通过，无异常！
[2022-09-29 10:23:36,540][set_app.py 104][INFO]: 判断是否记住密码用例通过，无异常！
[2022-09-29 10:24:19,101][set_app.py 147][INFO]: 使用验证码登录成功，无异常！
[2022-09-29 10:24:19,101][set_app.py 147][INFO]: 使用验证码登录成功，无异常！
[2022-09-29 10:24:21,853][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:24:21,853][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:24:56,231][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:24:56,231][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:24:56,231][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:25:17,190][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:25:17,190][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:25:17,190][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:25:24,640][set_app.py 268][INFO]: 输入语音:  打开所有空调获得响应为：好的，正在为您打开所有空调
[2022-09-29 10:25:24,640][set_app.py 268][INFO]: 输入语音:  打开所有空调获得响应为：好的，正在为您打开所有空调
[2022-09-29 10:25:24,640][set_app.py 268][INFO]: 输入语音:  打开所有空调获得响应为：好的，正在为您打开所有空调
[2022-09-29 10:25:30,529][set_app.py 270][INFO]: 输入语音:  打开卧室空调获得响应为：好的，正在为您打开卧室空调
[2022-09-29 10:25:30,529][set_app.py 270][INFO]: 输入语音:  打开卧室空调获得响应为：好的，正在为您打开卧室空调
[2022-09-29 10:25:30,529][set_app.py 270][INFO]: 输入语音:  打开卧室空调获得响应为：好的，正在为您打开卧室空调
[2022-09-29 10:25:36,289][set_app.py 272][INFO]: 输入语音:  开始空调获得响应为：问题听懂了，可惜我还不会回答您，我去学习了
[2022-09-29 10:25:36,289][set_app.py 272][INFO]: 输入语音:  开始空调获得响应为：问题听懂了，可惜我还不会回答您，我去学习了
[2022-09-29 10:25:36,289][set_app.py 272][INFO]: 输入语音:  开始空调获得响应为：问题听懂了，可惜我还不会回答您，我去学习了
[2022-09-29 10:25:42,130][set_app.py 274][INFO]: 输入语音:  关闭空调获得响应为：请指定具体的具体的空调名称（中文）
[2022-09-29 10:25:42,130][set_app.py 274][INFO]: 输入语音:  关闭空调获得响应为：请指定具体的具体的空调名称（中文）
[2022-09-29 10:25:42,130][set_app.py 274][INFO]: 输入语音:  关闭空调获得响应为：请指定具体的具体的空调名称（中文）
[2022-09-29 10:25:44,637][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:25:44,637][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:25:44,637][set_app.py 59][INFO]: APP关闭！
[2022-09-29 10:27:04,570][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-09-29 10:27:25,617][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-09-29 10:27:51,158][set_app.py 325][INFO]: 头像更换成功，用例无异常！
[2022-09-29 10:28:14,468][set_app.py 325][INFO]: 头像更换成功，用例无异常！
[2022-09-29 10:28:37,926][set_app.py 325][INFO]: 头像更换成功，用例无异常！
[2022-09-29 10:28:40,376][set_app.py 59][INFO]: APP关闭！
