[2022-10-24 16:21:51,850][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-24 16:22:04,106][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-24 16:22:21,666][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-24 16:22:24,228][set_app.py 47][INFO]: APP关闭！
[2022-10-24 16:23:45,976][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-24 16:23:58,132][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-24 16:24:15,771][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-24 16:24:18,363][set_app.py 47][INFO]: APP关闭！
[2022-10-24 16:30:39,428][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-24 16:30:51,962][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-24 16:31:09,832][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-24 16:31:12,316][set_app.py 47][INFO]: APP关闭！
[2022-10-24 16:32:16,677][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-24 16:32:29,035][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-24 16:33:06,638][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-24 16:33:09,602][set_app.py 47][INFO]: APP关闭！
[2022-10-24 16:33:36,412][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-24 16:33:48,618][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-24 16:34:23,696][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-24 16:34:26,172][set_app.py 47][INFO]: APP关闭！
[2022-10-24 16:35:49,072][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-24 16:36:01,374][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-24 16:36:53,547][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-24 16:36:55,990][set_app.py 47][INFO]: APP关闭！
[2022-10-24 16:38:53,023][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-24 16:39:04,707][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-24 16:40:03,694][set_app.py 403][INFO]: 头像更换成功，用例无异常！
[2022-10-24 16:40:09,377][set_app.py 652][INFO]: 退出登录成功，用例无异常！
[2022-10-24 16:40:13,017][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-24 16:40:15,561][set_app.py 47][INFO]: APP关闭！
[2022-10-24 16:43:43,462][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-24 16:43:55,598][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-24 16:44:20,751][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-24 16:44:23,310][set_app.py 47][INFO]: APP关闭！
[2022-10-24 16:45:12,557][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-24 16:45:24,733][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
