[2022-10-19 10:15:21,517][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 10:15:33,791][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 10:16:10,062][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-19 10:16:12,760][set_app.py 47][INFO]: APP关闭！
[2022-10-19 10:16:40,457][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 10:16:52,761][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 10:17:53,396][set_app.py 392][INFO]: 头像更换成功，用例无异常！
[2022-10-19 10:17:58,208][set_app.py 641][INFO]: 退出登录成功，用例无异常！
[2022-10-19 10:18:02,734][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-19 10:18:05,293][set_app.py 47][INFO]: APP关闭！
[2022-10-19 10:18:30,874][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 10:18:43,153][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 10:19:45,648][set_app.py 392][INFO]: 头像更换成功，用例无异常！
[2022-10-19 10:19:50,649][set_app.py 641][INFO]: 退出登录成功，用例无异常！
[2022-10-19 10:19:54,205][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-19 10:19:56,731][set_app.py 47][INFO]: APP关闭！
[2022-10-19 10:56:45,078][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 10:56:56,970][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 10:57:33,686][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-19 10:57:39,715][set_app.py 47][INFO]: APP关闭！
[2022-10-19 11:00:09,912][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 11:00:22,303][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 11:01:22,582][set_app.py 397][INFO]: 头像更换成功，用例无异常！
[2022-10-19 11:01:28,379][set_app.py 646][INFO]: 退出登录成功，用例无异常！
[2022-10-19 11:01:32,142][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-19 11:02:13,947][set_app.py 141][INFO]: 使用验证码登录成功，无异常！
[2022-10-19 11:02:16,525][set_app.py 47][INFO]: APP关闭！
[2022-10-19 11:04:33,560][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 11:04:45,942][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 11:05:47,944][set_app.py 397][INFO]: 头像更换成功，用例无异常！
[2022-10-19 11:05:52,976][set_app.py 646][INFO]: 退出登录成功，用例无异常！
[2022-10-19 11:05:56,638][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-19 11:06:34,663][set_app.py 141][INFO]: 使用验证码登录成功，无异常！
[2022-10-19 11:06:37,397][set_app.py 47][INFO]: APP关闭！
[2022-10-19 11:14:47,259][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 11:14:59,904][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 11:16:01,382][set_app.py 397][INFO]: 头像更换成功，用例无异常！
[2022-10-19 11:16:06,683][set_app.py 646][INFO]: 退出登录成功，用例无异常！
[2022-10-19 11:16:10,216][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-19 11:16:37,132][set_app.py 141][INFO]: 使用验证码登录成功，无异常！
[2022-10-19 11:16:40,079][set_app.py 47][INFO]: APP关闭！
[2022-10-19 13:55:33,791][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 13:55:45,655][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 13:55:53,738][set_app.py 47][INFO]: APP关闭！
[2022-10-19 13:57:54,773][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 13:58:06,955][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 13:58:17,667][set_app.py 47][INFO]: APP关闭！
[2022-10-19 13:59:36,814][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 13:59:49,503][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:00:00,604][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:07:57,603][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:08:10,473][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:08:21,132][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:09:15,938][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:09:28,684][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:09:39,314][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:10:27,444][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:10:39,401][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:10:50,053][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:13:46,286][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:13:58,591][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:14:09,249][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:15:46,757][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:15:58,310][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:16:08,928][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:17:55,468][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:18:07,799][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:18:18,464][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:20:25,439][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:20:39,499][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:20:50,161][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:26:45,974][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:26:58,784][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:27:10,006][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:35:08,424][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:35:20,975][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:35:57,690][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-19 14:36:00,230][set_app.py 47][INFO]: APP关闭！
[2022-10-19 14:37:20,747][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-19 14:37:34,076][set_app.py 67][INFO]: 使用密码登录成功，用例无异常！
[2022-10-19 14:38:35,118][set_app.py 402][INFO]: 头像更换成功，用例无异常！
[2022-10-19 14:38:39,475][set_app.py 651][INFO]: 退出登录成功，用例无异常！
[2022-10-19 14:38:43,151][set_app.py 97][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-19 14:38:45,703][set_app.py 47][INFO]: APP关闭！
