[2022-10-17 10:41:21,792][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 10:41:31,480][set_app.py 66][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 10:41:46,813][set_app.py 96][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 10:41:49,535][set_app.py 47][INFO]: APP关闭！
[2022-10-17 10:48:30,768][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 10:48:40,530][set_app.py 66][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 10:48:55,334][set_app.py 96][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 10:48:57,949][set_app.py 47][INFO]: APP关闭！
[2022-10-17 13:49:49,851][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 13:49:59,432][set_app.py 66][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 13:50:13,403][set_app.py 610][INFO]: 退出登录成功，用例无异常！
[2022-10-17 13:50:16,661][set_app.py 96][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 13:50:19,729][set_app.py 47][INFO]: APP关闭！
[2022-10-17 13:54:05,326][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 13:54:15,501][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 13:54:31,025][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 13:54:33,643][set_app.py 47][INFO]: APP关闭！
[2022-10-17 14:11:35,874][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 14:11:46,979][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 14:12:05,130][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 14:12:07,647][set_app.py 47][INFO]: APP关闭！
[2022-10-17 14:13:55,745][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 14:14:05,800][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 14:14:32,441][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 14:14:35,051][set_app.py 47][INFO]: APP关闭！
[2022-10-17 14:15:47,240][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 14:15:57,849][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 14:16:25,608][set_app.py 635][INFO]: 退出登录成功，用例无异常！
[2022-10-17 14:16:29,103][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 14:16:31,574][set_app.py 47][INFO]: APP关闭！
[2022-10-17 14:18:06,737][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 14:18:17,200][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 14:18:45,042][set_app.py 635][INFO]: 退出登录成功，用例无异常！
[2022-10-17 14:18:48,696][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 14:18:51,213][set_app.py 47][INFO]: APP关闭！
[2022-10-17 14:20:24,853][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 14:20:35,424][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 14:21:05,241][set_app.py 639][INFO]: 退出登录成功，用例无异常！
[2022-10-17 14:21:09,038][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 14:21:11,663][set_app.py 47][INFO]: APP关闭！
[2022-10-17 16:27:58,047][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 16:28:08,982][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 16:28:39,275][set_app.py 639][INFO]: 退出登录成功，用例无异常！
[2022-10-17 16:28:43,564][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 16:28:46,112][set_app.py 47][INFO]: APP关闭！
[2022-10-17 16:29:22,736][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 16:29:33,239][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 16:30:04,416][set_app.py 639][INFO]: 退出登录成功，用例无异常！
[2022-10-17 16:30:07,990][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 16:30:10,531][set_app.py 47][INFO]: APP关闭！
[2022-10-17 18:51:27,809][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 18:51:38,060][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 18:51:44,129][set_app.py 631][INFO]: 退出登录成功，用例无异常！
[2022-10-17 18:51:47,385][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 18:51:49,966][set_app.py 47][INFO]: APP关闭！
[2022-10-17 18:52:41,353][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 18:52:51,525][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 18:53:00,379][set_app.py 631][INFO]: 退出登录成功，用例无异常！
[2022-10-17 18:53:03,992][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 18:53:06,523][set_app.py 47][INFO]: APP关闭！
[2022-10-17 18:54:11,699][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 18:54:22,366][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 18:54:40,718][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 18:54:43,244][set_app.py 47][INFO]: APP关闭！
[2022-10-17 18:56:46,711][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 18:56:53,984][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 18:56:56,523][set_app.py 47][INFO]: APP关闭！
[2022-10-17 18:57:20,195][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 18:57:31,018][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 18:57:51,633][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 18:57:54,122][set_app.py 47][INFO]: APP关闭！
[2022-10-17 18:58:56,859][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 18:59:07,529][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 18:59:29,567][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 18:59:32,092][set_app.py 47][INFO]: APP关闭！
[2022-10-17 18:59:56,361][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 19:00:05,633][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 19:00:26,570][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-17 19:00:28,883][set_app.py 47][INFO]: APP关闭！
[2022-10-17 19:01:32,022][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-17 19:01:42,803][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-17 19:02:17,229][set_app.py 383][INFO]: 头像更换成功，用例无异常！
[2022-10-17 19:02:21,878][set_app.py 632][INFO]: 退出登录成功，用例无异常！
[2022-10-17 19:02:25,534][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
