[2022-10-08 14:46:20,056][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 14:46:42,022][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 14:46:52,398][set_app.py 59][INFO]: APP关闭！
[2022-10-08 14:49:50,400][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 14:50:12,907][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 14:50:23,650][set_app.py 59][INFO]: APP关闭！
[2022-10-08 14:51:49,880][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 14:52:12,225][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 14:52:15,371][set_app.py 59][INFO]: APP关闭！
[2022-10-08 14:54:49,266][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 14:55:11,662][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 14:55:14,777][set_app.py 59][INFO]: APP关闭！
[2022-10-08 14:56:24,557][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 14:56:46,557][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 14:56:50,722][set_app.py 59][INFO]: APP关闭！
[2022-10-08 14:58:31,877][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 14:58:54,267][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 14:59:07,533][set_app.py 59][INFO]: APP关闭！
[2022-10-08 15:00:24,134][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 15:00:46,531][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 15:01:01,778][set_app.py 59][INFO]: APP关闭！
[2022-10-08 15:46:32,706][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 15:46:55,134][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 15:47:22,306][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-10-08 15:47:43,298][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 15:47:48,851][set_app.py 59][INFO]: APP关闭！
[2022-10-08 15:58:33,776][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 15:58:55,773][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 15:59:21,879][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-10-08 15:59:43,186][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 15:59:48,305][set_app.py 59][INFO]: APP关闭！
[2022-10-08 16:03:24,596][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 16:03:47,379][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 16:04:13,874][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-10-08 16:04:34,923][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 16:04:41,122][set_app.py 59][INFO]: APP关闭！
[2022-10-08 16:58:34,519][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 16:58:56,244][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 16:59:21,939][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-10-08 16:59:42,484][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 16:59:51,071][set_app.py 59][INFO]: APP关闭！
[2022-10-08 17:19:38,006][set_app.py 52][INFO]: APP启动并允许所有权限！
[2022-10-08 17:19:59,647][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 17:20:26,598][set_app.py 96][INFO]: 退出登录成功，用例无异常！
[2022-10-08 17:20:47,188][set_app.py 76][INFO]: 使用密码登录成功，用例无异常！
[2022-10-08 17:21:01,253][set_app.py 59][INFO]: APP关闭！
