[2022-10-14 10:00:30,332][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:00:40,118][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:00:49,099][set_app.py 580][INFO]: 退出登录成功，用例无异常！
[2022-10-14 10:00:52,826][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:00:55,678][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:01:47,239][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:01:56,892][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:02:04,978][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:02:07,551][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:03:09,531][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:03:19,092][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:03:27,804][set_app.py 580][INFO]: 退出登录成功，用例无异常！
[2022-10-14 10:03:31,486][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:03:34,162][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:04:00,499][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:04:10,402][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:04:19,955][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:04:22,538][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:06:31,735][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:06:41,588][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:06:52,003][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:06:54,468][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:11:36,421][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:11:46,366][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:12:02,165][set_app.py 584][INFO]: 退出登录成功，用例无异常！
[2022-10-14 10:12:06,292][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:12:08,952][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:16:04,074][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:16:14,186][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:16:26,345][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:16:28,952][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:20:20,712][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:20:30,238][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:20:38,329][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:20:41,140][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:21:42,794][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:21:52,596][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:22:02,099][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:22:04,810][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:23:19,511][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:23:29,091][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:23:41,801][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:23:44,576][set_app.py 47][INFO]: APP关闭！
[2022-10-14 10:24:12,141][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 10:24:21,811][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 10:24:36,902][set_app.py 583][INFO]: 退出登录成功，用例无异常！
[2022-10-14 10:24:40,624][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 10:24:43,263][set_app.py 47][INFO]: APP关闭！
[2022-10-14 13:25:44,956][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 13:25:54,341][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 13:26:04,046][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 13:26:06,718][set_app.py 47][INFO]: APP关闭！
[2022-10-14 13:27:20,238][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 13:27:30,493][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 13:27:41,868][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 13:27:44,359][set_app.py 47][INFO]: APP关闭！
[2022-10-14 13:29:55,461][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 13:30:05,608][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 13:30:16,013][set_app.py 585][INFO]: 退出登录成功，用例无异常！
[2022-10-14 13:30:20,288][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 13:30:22,924][set_app.py 47][INFO]: APP关闭！
[2022-10-14 13:32:56,813][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 13:33:07,063][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 13:33:16,891][set_app.py 585][INFO]: 退出登录成功，用例无异常！
[2022-10-14 13:33:20,499][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 13:33:23,057][set_app.py 47][INFO]: APP关闭！
[2022-10-14 13:38:19,685][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 13:38:29,510][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 13:38:35,571][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 13:38:38,203][set_app.py 47][INFO]: APP关闭！
[2022-10-14 13:45:45,753][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 13:45:55,592][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 13:46:03,165][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 13:46:05,769][set_app.py 47][INFO]: APP关闭！
[2022-10-14 13:53:39,802][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 13:53:49,575][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 13:53:58,948][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 13:54:01,543][set_app.py 47][INFO]: APP关闭！
[2022-10-14 13:55:52,127][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 13:56:01,888][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 13:56:13,448][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 13:56:16,116][set_app.py 47][INFO]: APP关闭！
[2022-10-14 13:57:17,757][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 13:57:27,300][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 13:57:39,018][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 13:57:41,637][set_app.py 47][INFO]: APP关闭！
[2022-10-14 14:01:47,376][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 14:01:57,216][set_app.py 61][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 14:02:10,555][set_app.py 588][INFO]: 退出登录成功，用例无异常！
[2022-10-14 14:02:13,801][set_app.py 91][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 14:02:17,451][set_app.py 47][INFO]: APP关闭！
[2022-10-14 14:09:23,107][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 14:09:33,160][set_app.py 63][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 14:09:37,735][set_app.py 590][INFO]: 退出登录成功，用例无异常！
[2022-10-14 14:09:40,993][set_app.py 93][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 14:09:43,728][set_app.py 47][INFO]: APP关闭！
[2022-10-14 14:16:54,931][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 14:17:00,393][set_app.py 96][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 14:17:03,063][set_app.py 47][INFO]: APP关闭！
[2022-10-14 14:37:17,371][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 14:37:22,859][set_app.py 96][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 14:37:25,548][set_app.py 47][INFO]: APP关闭！
[2022-10-14 14:40:07,698][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 14:40:13,498][set_app.py 96][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 14:40:16,244][set_app.py 47][INFO]: APP关闭！
[2022-10-14 14:41:09,067][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 14:41:19,243][set_app.py 66][INFO]: 使用密码登录成功，用例无异常！
[2022-10-14 14:41:24,565][set_app.py 593][INFO]: 退出登录成功，用例无异常！
[2022-10-14 14:41:28,272][set_app.py 96][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-14 14:41:30,887][set_app.py 47][INFO]: APP关闭！
[2022-10-14 14:46:52,011][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-14 14:47:01,595][set_app.py 66][INFO]: 使用密码登录成功，用例无异常！
